id,location_id,program_id,accepted_payments,alternate_name,description,eligibility,email,fees,funding_sources,application_process,interpretation_sources,keywords,languages,name,required_documents,service_areas,status,wait_time,website,taxonomy_ids
1,1,,,,"Provide loans to businesses, non-profit organizations, and public organizations from $25,000-$500,000",,,Fee Charged,,,,,,Lending,,,active,,,"101-02,101-02-04,102-02,102-03,103-03,103-04,104,104,104,104,104,104,104,104,104,104,105-01,105-07,105-08,105-10,105-11,105-12,105-13,105-16,105-21,105-22"
2,2,,,,"AgStart has a mentor/advisor network of professionals across a variety of disciplines willing to meet with and provide guidance to entrepreneurs in our Ag-&-Food Tech community.  Our mentors' expertise covers business, legal, financial, ag research and intellectual property, as well as domain expertise in specific disciplines within the agricultural community from seeds and crop protection and growth enhancements, irrigation and water, agronomy and pest control, agricultural supply and services.  AgStart conducts regular monthly Office Hours where AgStart members and non-member guests can schedule one-on-one consultations with a member of our AgStart advisory network.  Membership in AgStart may be required to utilize these services.",,,Free,,,,,,Mentorship,,,active,,http://www.agstart.org/events.html,"101-12,102-01,103-01,103-02,103-03,104,104,104,104,104,104,104,104,104,104,105-01,105-10,105-12,105-21,105-22"
3,2,,,,"AgStart's Woodland-based incubator facility has a generous amount of co-working space where members and guests can utilize shared office space, high-speed internet, and a shared conference facility with comfortable and re-configurable seating for up to 20 or more participants, with a large monitor for presentations, whiteboards, flipcharts and other essentials to ensure a productive and effective meeting.

Co-working space can be made available on an as-needed basis or members can reserve dedicated space, depending on their needs.  Membership in AgStart is required to obtain 24x7 access to the facility.",,,Fee Charged,,,,,,Co-Working Space,,,active,,http://www.agstart.org/become-a-member.html,"101-11,102-01,103-01,103-02,103-03,104,104,104,104,104,104,104,104,104,104,105-01,105-10,105-12,105-21,105-22"
4,2,,,,"AgStart conducts educational workshops, including our 'Business Fundamentals' workshop series, to help educate innovators and entrepreneurs on the concepts necessary to found and grow their business.   These concepts may be universal across all businesses, but the examples and peer-level discussions in our workshops are specifically focused on the Ag-&-Food Technology domain.   Guest speakers from the Ag-&-Food Tech industry assist in providing industry-specific insights and guidance.

More details of our current educational offering and upcoming events can be found on our website.",,,Fee Charged,,,,,,Educational Workshops,,,active,,http://www.agstart.org/events.html,"101-08,102-01,103-01,103-02,103-03,104,104,104,104,104,104,104,104,104,104,105-01,105-10,105-12,105-21,105-22"
5,3,,,,Angel investor with solid syndication partners to help fund and support early stage businesses.,,,,,,,,,Early stage investment,,,active,,,"101-02,101-02-02,102-01,103-01,103-02,103-03,103-04,104,104,104,104,104,104,104,104,104,104,105-09,105-10"
6,3,,,,Help buy and sell companies.  I have experience helping in the buying of companies with large multi-national companies and well as helping sell smaller companies on a more regional basis.,,,Fee Charged,,,,,,Mergers and Acquisition support,,,active,,,"101-12,101-08,102-01,102-02,103-01,103-02,103-03,103-04,104,104,104,104,104,104,104,104,104,104,105-09,105-10,105-11,105-12,105-16"
7,3,,,,"Carefully interview and study a firm and determine recommendations for its growth and/or its strategic direction going into the future.  Legal, financial, product and market segmentation analysis is performed.",,,Fee Charged,,,,,,Organizational Assessment,,,active,,,"101-12,101-08,104,104,104,104,104,104,104,104,104,104,105-09,105-10,105-11,105-12"
8,4,,,,CDC Small Business Finance provides business owners with up to 90% financing for commercial real estate.,,,Free,,,,,,SBA 504 Loan Program,,,active,,,"101-02,101-02-03,101-02-04,101-02-06,101-02-07,102-02,104,104,104,104,104,104,104,104,104,104,105-03,105-04,105-05,105-07,105-08,105-09,105-10,105-11,105-12,105-16,105-17,105-18,105-19,105-20,105-21,105-22"
9,5,,,,The California Farm Academy Beginning Farmer Training Program is a seven-month program that provides an intensive overview of what it takes to succeed as a farmer in the region. This program includes classroom and field experience.,,,Fee Charged,,,,,,Farm Business Incubator,,,active,,http://landbasedlearning.org/farm-academy-beginning-farmer,"101-11,101-11-05,102-01,104,104,104,104,104,104,104,104,104,104,105-01"
10,6,,,,"The Farm Incubator offers farmland for lease to qualified program Beginning Farmer Training program graduates. Incubator sites are located in Winters, West Sacramento and Davis. Plots of land ranging from one-quarter to one acre, as well as greenhouse and cooler space, can be leased on an annual basis for up to four years. Additional acres may be available.",,,Fee Charged,,,,,,Farm Business Incubator,,,active,,,"101-01,101-03,101-06,101-04,101-12,101-05,101-08,101-10,101-11,101-11-05,102-01,104,104,104,104,104,104,104,104,104,104,105-01"
